id,title,ingredients,calories,health_type,recipe_text
1,감자 오믈렛,"계란,양파,감자,소금,올리브오일",320,다이어트,"1. 감자를 얇게 썬다. 2. 양파를 볶는다. 3. 계란을 풀어 붓고 약불로 익힌다."
2,닭가슴살 샐러드,"닭가슴살,양상추,토마토,오이,드레싱",280,다이어트,"1. 닭가슴살을 삶는다. 2. 채소를 썰어 담는다. 3. 드레싱을 뿌린다."
3,현미밥 두부조림,"두부,간장,현미,양파,청양고추",350,당뇨,"1. 두부를 깍둑 썬다. 2. 간장 소스를 만든다. 3. 두부를 조린다. 4. 현미밥과 함께 낸다."
4,콩나물국,"콩나물,파,마늘,소금",80,저염식,"1. 콩나물을 씻는다. 2. 물을 끓인다. 3. 콩나물을 넣고 파,마늘을 추가한다. 4. 소금으로 간한다."
5,버섯볶음,"새송이버섯,표고버섯,파,간장,참기름",150,당뇨,"1. 버섯을 썬다. 2. 팬을 달군다. 3. 버섯을 볶는다. 4. 간장과 참기름으로 마무리한다."
6,계란말이,"계란,당근,시금치,소금,식용유",210,일반,"1. 계란을 푼다. 2. 당근과 시금치를 다진다. 3. 재료를 섞어 말아 익힌다."
7,두부 된장국,"두부,된장,애호박,파,마늘",120,저염식,"1. 된장을 풀어 국물을 만든다. 2. 두부와 애호박을 썬다. 3. 끓여서 낸다."
8,닭가슴살 볶음밥,"닭가슴살,계란,쌀,당근,양파",420,다이어트,"1. 닭가슴살을 잘게 썬다. 2. 채소를 볶는다. 3. 밥을 넣고 계란을 푼다. 4. 함께 볶는다."
9,오이무침,"오이,고추장,식초,마늘,설탕",60,저염식,"1. 오이를 썬다. 2. 양념을 만든다. 3. 오이와 버무린다."
10,현미 채소죽,"현미,당근,양파,버섯,소금",180,당뇨,"1. 현미를 불린다. 2. 채소를 다진다. 3. 물과 함께 끓인다. 4. 소금으로 간한다."
